publish_date,data_freq,state,country,vin,uvc,groupnum,model_year,make,model,series,style,mileage_cat,class_code,class_name,description_score,first_values_flag,risk_score,region2,region3,region4,region5,region6,msrp,retail_equipped,price_includes,wheel_base,tire_size,gvw,seat_cap,fuel_type,fuel_cap,fuel_delivery,hwy_mpg,city_mpg,engine_description,cylinders,engine_displacement,base_hp,taxable_hp,torque,oil_cap,transmission,drivetrain,num_gears,ext_doors,airbags,anti_corrosion_warranty,basic_warranty,powertrain_warranty,road_assist_warranty,add_deduct_list,model_number_list,engine_turbocharged
8/28/2020,D,NT,US,102280487,2019485072,4107,2019,Kia,Soul,+,4D Wagon,B,A,Small Car,,False,,-50,200,-100,0,0,20490,21430,AT AC,101.2,215/55R17,3232,5,Gas,14.2,GDI,30,25,2.0L I-4 DI DOHC,4,2.0L,161 @ 6200,16.6,150 @ 4700,4.0,A,FWD,6,4,Side Curtain,"5-year/100,000-mile, Limited","5-year/60,000-mile, Limited","10-year/100,000-mile, Limited","5-year/60,000-mile","[{'uoc': '8C', 'name': '18-Inch Wheels', 'xclean': 350, 'clean': 350, 'avg': 350, 'rough': 350, 'auto': 'N', 'resid12': 300, 'resid24': 250, 'resid30': 225, 'resid36': 200, 'resid42': 175, 'resid48': 150, 'resid60': 100, 'resid72': 50}, {'uoc': 'W2', 'name': 'Primo Pkg', 'xclean': 1600, 'clean': 1600, 'avg': 1600, 'rough': 1600, 'auto': 'N', 'resid12': 1500, 'resid24': 1400, 'resid30': 1350, 'resid36': 1300, 'resid42': 1250, 'resid48': 1200, 'resid60': 1100, 'resid72': 1000}]",['B2522'],
8/28/2020,D,NT,US,102298407,2017160869,0141,2017,Chevrolet,Malibu,LT,4D Sedan,B,C,Mid-Size Car,,False,,-50,75,-150,0,0,25125,26000,AT AC,111.4,225/55R17,3126,5,Gas,13.0,Direct injection,36,27,1.5L I-4 DI DOHC T/C,4,1.5L,160 @ 5700,13.5,184 @ 3000,4.0,A,FWD,6,4,Side Curtain,"6-year/100,000-mile","3-year/36,000-mile, Limited","5-year/60,000-miles, Limited","5-year/60,000-mile","[{'uoc': '8C', 'name': '18-Inch Wheels', 'xclean': 225, 'clean': 225, 'avg': 225, 'rough': 225, 'auto': 'N', 'resid12': 200, 'resid24': 175, 'resid30': 150, 'resid36': 150, 'resid42': 125, 'resid48': 125, 'resid60': 100, 'resid72': 100}, {'uoc': 'N5', 'name': 'Navigation System', 'xclean': 500, 'clean': 500, 'avg': 500, 'rough': 500, 'auto': 'N', 'resid12': 450, 'resid24': 400, 'resid30': 375, 'resid36': 350, 'resid42': 325, 'resid48': 300, 'resid60': 250, 'resid72': 200}, {'uoc': '12', 'name': 'Sunroof', 'xclean': 600, 'clean': 600, 'avg': 600, 'rough': 600, 'auto': 'N', 'resid12': 550, 'resid24': 500, 'resid30': 475, 'resid36': 450, 'resid42': 425, 'resid48': 400, 'resid60': 350, 'resid72': 300}, {'uoc': '20', 'name': 'Leather', 'xclean': 650, 'clean': 650, 'avg': 650, 'rough': 650, 'auto': 'N', 'resid12': 600, 'resid24': 550, 'resid30': 525, 'resid36': 500, 'resid42': 475, 'resid48': 450, 'resid60': 400, 'resid72': 350}]",['1ZD69'],Turbocharg
8/28/2020,D,NT,US,102633593,2017300901,0016,2017,Ford,Fusion,SE,4D Sedan,B,C,Mid-Size Car,,False,,-50,100,-100,0,0,23610,24675,AT AC,112.2,235/50R17,3285,5,Gas,16.5,SMPI,32,21,1.5L I-4 DI DOHC Ecoboost,4,1.5L,175 @ 6000,15.5,175 @ 4500,5.0,A,FWD,6,4,Side Curtain,5-year/Unlimited-mile,"3-year/36,000-mile","5-year/60,000-mile","5-year/60,000-mile","[{'uoc': '8C', 'name': '18-Inch Al Whl', 'xclean': 325, 'clean': 325, 'avg': 325, 'rough': 325, 'auto': 'N', 'resid12': 300, 'resid24': 275, 'resid30': 250, 'resid36': 250, 'resid42': 225, 'resid48': 225, 'resid60': 200, 'resid72': 175}, {'uoc': '2D', 'name': '1.5L 4cyl Ecoboost', 'xclean': 400, 'clean': 400, 'avg': 400, 'rough': 400, 'auto': 'Y', 'resid12': 350, 'resid24': 300, 'resid30': 275, 'resid36': 250, 'resid42': 225, 'resid48': 200, 'resid60': 150, 'resid72': 100}, {'uoc': 'N5', 'name': 'Navigation System', 'xclean': 450, 'clean': 450, 'avg': 450, 'rough': 450, 'auto': 'N', 'resid12': 400, 'resid24': 350, 'resid30': 325, 'resid36': 300, 'resid42': 275, 'resid48': 250, 'resid60': 200, 'resid72': 150}, {'uoc': '12', 'name': 'Power Moonroof', 'xclean': 550, 'clean': 550, 'avg': 550, 'rough': 550, 'auto': 'N', 'resid12': 500, 'resid24': 450, 'resid30': 425, 'resid36': 400, 'resid42': 375, 'resid48': 350, 'resid60': 300, 'resid72': 250}, {'uoc': '20', 'name': 'Leather', 'xclean': 625, 'clean': 625, 'avg': 625, 'rough': 625, 'auto': 'N', 'resid12': 575, 'resid24': 525, 'resid30': 500, 'resid36': 475, 'resid42': 450, 'resid48': 425, 'resid60': 375, 'resid72': 325}, {'uoc': '2V', 'name': '2.0L 4cyl Ecoboost', 'xclean': 1000, 'clean': 1000, 'avg': 1000, 'rough': 1000, 'auto': 'N', 'resid12': 900, 'resid24': 800, 'resid30': 750, 'resid36': 700, 'resid42': 650, 'resid48': 600, 'resid60': 500, 'resid72': 400}]",['P0H'],
